Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_004_fix
Tier: 3 | Type: Staged | Stages: 11 | Map: surf_1day
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_2012_beta12
Tier: 5 | Type: Linear | Checkpoints: 4 | Map: surf_25_lighters
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_2pacisalive
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_3
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_4dimensional
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_4head_csgo
Tier: 6 | Type: Staged | Stages: 6 | Map: surf_666
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_6
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_81st_network
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_a
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_abstinens
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_abyss_fix
Tier: 2 | Type: Staged | Stages: 8 | Map: surf_ace
Tier: 6 | Type: Staged | Stages: 6 | Map: surf_acerbus
Tier: 2 | Type: Staged | Stages: 9 | Map: surf_acp_fix
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_adtr_njv
Tier: 3 | Type: Linear | Checkpoints: 4 | Map: surf_adventure_final
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_aeron
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_aether
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_again_njv
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_aircontrol_ksf
Tier: 4 | Type: Staged | Stages: 6 | Map: surf_airflow
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_akai_final
Tier: 4 | Type: Linear | Checkpoints: 2 | Map: surf_alend
Tier: 6 | Type: Staged | Stages: 18 | Map: surf_alpha
Tier: 6 | Type: Linear | Checkpoints: 4 | Map: surf_amaro_fix
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_ambient_njv
Tier: 1 | Type: Staged | Stages: 10 | Map: surf_ameliorate
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_amir
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_amplitude_encore
Tier: 2 | Type: Linear | Checkpoints: 3 | Map: surf_amplitude_light
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_andromeda
Tier: 2 | Type: Staged | Stages: 5 | Map: surf_annoyance_njv
Tier: 3 | Type: Staged | Stages: 10 | Map: surf_anthropomorphic
Tier: 4 | Type: Staged | Stages: 9 | Map: surf_apollonian
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_aqua_fix
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_artifex
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_aser
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_asrown
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_atlantis
Tier: 2 | Type: Linear | Checkpoints: 2 | Map: surf_atlas
Tier: 2 | Type: Staged | Stages: 6 | Map: surf_atrium
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_auroria2
Tier: 5 | Type: Staged | Stages: 2 | Map: surf_aux
Tier: 4 | Type: Staged | Stages: 4 | Map: surf_awakening
Tier: 1 | Type: Staged | Stages: 5 | Map: surf_aweles
Tier: 3 | Type: Linear | Checkpoints: 2 | Map: surf_axiom2
Tier: 3 | Type: Staged | Stages: 6 | Map: surf_bbb
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_be_gentle
Tier: 1 | Type: Staged | Stages: 7 | Map: surf_beginner
Tier: 4 | Type: Staged | Stages: 7 | Map: surf_beginner_hell
Tier: 2 | Type: Staged | Stages: 7 | Map: surf_benevolent
Tier: 2 | Type: Staged | Stages: 8 | Map: surf_beverages
Tier: 4 | Type: Linear | Checkpoints: 5 | Map: surf_beyer2
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_beyer
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_blackout_v1
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_blackside
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_bluewall
Tier: 3 | Type: Staged | Stages: 11 | Map: surf_bob
Tier: 5 | Type: Staged | Stages: 13 | Map: surf_bonus
Tier: 1 | Type: Staged | Stages: 7 | Map: surf_borderlands
Tier: 2 | Type: Staged | Stages: 16 | Map: surf_boring
Tier: 3 | Type: Staged | Stages: 7 | Map: surf_bork_nbv
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_b_r_o_x_x_x
Tier: 5 | Type: Staged | Stages: 4 | Map: surf_brutalist
Tier: 3 | Type: Staged | Stages: 4 | Map: surf_brutalist_ez
Tier: 6 | Type: Staged | Stages: 5 | Map: surf_bullet
Tier: 4 | Type: Staged | Stages: 5 | Map: surf_calamity2
Tier: 4 | Type: Linear | Checkpoints: 3 | Map: surf_calibration
Tier: 1 | Type: Linear | Checkpoints: 3 | Map: surf_calycate2
Tier: 1 | Type: Linear | Checkpoints: 2 | Map: surf_calycate_ksf
Tier: 1 | Type: Staged | Stages: 4 | Map: surf_calzone
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_canisius2_fix
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_canisius
Tier: 3 | Type: Staged | Stages: 5 | Map: surf_cartoon
Tier: 5 | Type: Staged | Stages: 6 | Map: surf_castlewalls
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_catalyst2
Tier: 3 | Type: Linear | Checkpoints: 3 | Map: surf_catalyst
Tier: 2 | Type: Linear | Checkpoints: 4 | Map: surf_cavemissile_fix
Tier: 4 | Type: Linear | Checkpoints: 4 | Map: surf_chasm_go
Tier: 5 | Type: Linear | Checkpoints: 3 | Map: surf_cinnamon
Tier: 2 | Type: Staged | Stages: 9 | Map: surf_classics2
Tier: 2 | Type: Staged | Stages: 32 | Map: surf_classics
Tier: 5 | Type: Staged | Stages: 6 | Map: surf_clavius
Tier: 4 | Type: Staged | Stages: 8 | Map: surf_collaboration
Tier: 2 | Type: Staged | Stages: 10 | Map: surf_colors_beta1
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_colum_2
Tier: 1 | Type: Staged | Stages: 6 | Map: surf_colum_up
